,summary,config,name
10,"{'_wandb': {'runtime': 20}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_s16_224', 'optim': 'kbfgs', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 30, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",wobbly-sweep-230
11,"{'cuda_max_memory': -1, '_wandb': {'runtime': 18}}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_s16_224', 'optim': 'seng', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 30, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",wobbly-sweep-229
12,"{'_wandb': {'runtime': 19}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_s16_224', 'optim': 'psgd', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 30, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",curious-sweep-228
13,"{'_wandb': {'runtime': 19}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_s16_224', 'optim': 'shampoo', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 30, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",woven-sweep-227
14,"{'_wandb': {'runtime': 18}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_s16_224', 'optim': 'kfac_mc', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 30, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",dulcet-sweep-226
15,"{'_wandb': {'runtime': 22}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_l16_224', 'optim': 'kbfgs', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 10, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",mild-sweep-225
16,"{'_wandb': {'runtime': 18}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_l16_224', 'optim': 'seng', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 10, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",wobbly-sweep-224
17,"{'_wandb': {'runtime': 20}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_l16_224', 'optim': 'psgd', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 10, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",icy-sweep-223
18,"{'cuda_max_memory': -1, '_wandb': {'runtime': 19}}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_l16_224', 'optim': 'shampoo', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 10, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",effortless-sweep-222
19,"{'_wandb': {'runtime': 19}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_l16_224', 'optim': 'kfac_mc', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 10, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",faithful-sweep-221
20,"{'_wandb': {'runtime': 17}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_b16_224', 'optim': 'kbfgs', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 10, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",dazzling-sweep-220
21,"{'_wandb': {'runtime': 18}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_b16_224', 'optim': 'seng', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 10, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",glad-sweep-219
22,"{'_wandb': {'runtime': 18}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_b16_224', 'optim': 'psgd', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 10, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",copper-sweep-218
23,"{'_wandb': {'runtime': 19}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_b16_224', 'optim': 'shampoo', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 10, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",scarlet-sweep-217
24,"{'_wandb': {'runtime': 20}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_b16_224', 'optim': 'kfac_mc', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 10, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",giddy-sweep-216
25,"{'_wandb': {'runtime': 20}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_s16_224', 'optim': 'kbfgs', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 10, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",smart-sweep-215
26,"{'_wandb': {'runtime': 15}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_s16_224', 'optim': 'seng', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 10, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",divine-sweep-214
27,"{'_wandb': {'runtime': 18}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_s16_224', 'optim': 'psgd', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 10, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",pretty-sweep-213
28,"{'_wandb': {'runtime': 17}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_s16_224', 'optim': 'shampoo', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 10, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",decent-sweep-212
29,"{'_wandb': {'runtime': 18}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_s16_224', 'optim': 'kfac_mc', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 10, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",glamorous-sweep-211
30,"{'_wandb': {'runtime': 23}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_l16_224', 'optim': 'kbfgs', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 3, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",pious-sweep-210
31,"{'_wandb': {'runtime': 18}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_l16_224', 'optim': 'seng', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 3, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",devoted-sweep-209
32,"{'_wandb': {'runtime': 19}, 'cuda_max_memory': -1}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_l16_224', 'optim': 'psgd', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 3, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",efficient-sweep-208
33,"{'cuda_max_memory': -1, '_wandb': {'runtime': 20}}","{'lr': 0.0001, 'cuda': True, 'seed': 1, 'step': 30, 'depth': 3, 'model': 'mixer_l16_224', 'optim': 'shampoo', 'wandb': True, 'width': 128, 'epochs': 20, 'warmup': 0, 'damping': 10, 'dataset': 'CIFAR10', 'kl_clip': 1, 'no_cuda': False, 'img_size': 32, 'interval': 3, 'lr_ratio': 0, 'momentum': 0.9, 'batch_size': 2048, 'train_size': 45056, 'num_workers': 8, 'auto_augment': True, 'log_interval': 1, 'weight_decay': 0.0001, 'data_augmentation': True, 'gradient_clipping': True}",firm-sweep-207
